Circuit delay: 3251.66 ps

Gate slacks:
INP-n1: 3434.68 ps
INP-n2: 3470.54 ps
INP-n3: 3494.59 ps
INP-n4: 325.17 ps
INP-n5: 3246.18 ps
INP-n6: 3086.16 ps
INP-n7: 3080.26 ps
INP-n8: 2969.95 ps
INP-n9: 2883.06 ps
INP-n10: 2754.07 ps
INP-n11: 2676.44 ps
INP-n12: 2565.57 ps
INP-n13: 2479.09 ps
INP-n14: 2368.04 ps
INP-n15: 2299.56 ps
INP-n16: 2159.24 ps
INP-n17: 2082.13 ps
INP-n18: 1988.75 ps
INP-n19: 1916.40 ps
INP-n20: 1817.58 ps
INP-n21: 1742.58 ps
INP-n22: 1631.35 ps
INP-n23: 1564.50 ps
INP-n24: 1422.44 ps
INP-n25: 1348.01 ps
INP-n26: 1208.70 ps
INP-n27: 1148.54 ps
INP-n28: 1006.20 ps
INP-n29: 932.14 ps
INP-n30: 798.19 ps
INP-n31: 733.25 ps
INP-n32: 615.72 ps
INP-n33: 525.61 ps
INP-n34: 409.64 ps
INP-n35: 433.28 ps
INP-n36: 433.28 ps
INP-n37: 2841.07 ps
NAND-n38: 1385.67 ps
NAND-n39: 1419.42 ps
NAND-n40: 1490.45 ps
NAND-n41: 1584.49 ps
NAND-n42: 1690.34 ps
NAND-n43: 1752.82 ps
NAND-n44: 1868.89 ps
NAND-n45: 1957.00 ps
NAND-n46: 2007.98 ps
NAND-n47: 2170.73 ps
NAND-n48: 2258.65 ps
NAND-n49: 2317.71 ps
NAND-n50: 2396.21 ps
NAND-n51: 2504.23 ps
NAND-n52: 2566.82 ps
NAND-n53: 2657.02 ps
NAND-n54: 2760.73 ps
NAND-n55: 2837.23 ps
AND-n56: 1982.05 ps
NAND-n57: 2977.57 ps
NAND-n58: 3067.62 ps
AND-n59: 3025.24 ps
INP-n60: 3320.52 ps
NAND-n61: 2884.00 ps
INP-n62: 3320.52 ps
NAND-n63: 2884.00 ps
INP-n64: 3320.52 ps
NAND-n65: 2884.00 ps
INP-n66: 3320.52 ps
NAND-n67: 2884.00 ps
INP-n68: 3320.52 ps
NAND-n69: 2884.00 ps
INP-n70: 3320.52 ps
NAND-n71: 2884.00 ps
INP-n72: 3320.52 ps
NAND-n73: 2884.00 ps
INP-n74: 3268.15 ps
NAND-n75: 2884.00 ps
INP-n76: 3447.94 ps
NAND-n77: 2884.00 ps
INP-n78: 3447.94 ps
NAND-n79: 2884.00 ps
INP-n80: 3447.94 ps
NAND-n81: 2884.00 ps
INP-n82: 3447.94 ps
NAND-n83: 2884.00 ps
INP-n84: 3447.94 ps
NAND-n85: 2884.00 ps
INP-n86: 3447.94 ps
NAND-n87: 2884.00 ps
INP-n88: 3447.94 ps
NAND-n89: 2884.00 ps
INP-n90: 3485.93 ps
NAND-n91: 2884.00 ps
INP-n92: 3336.98 ps
NAND-n93: 2884.00 ps
INP-n94: 3336.98 ps
NAND-n95: 2884.00 ps
INP-n96: 3336.98 ps
NAND-n97: 2884.00 ps
INP-n98: 3336.98 ps
NAND-n99: 2884.00 ps
INP-n100: 3336.98 ps
NAND-n101: 2884.00 ps
INP-n102: 3336.98 ps
NAND-n103: 2884.00 ps
INP-n104: 3336.98 ps
NAND-n105: 2884.00 ps
INP-n106: 3285.43 ps
NAND-n107: 2884.00 ps
INP-n108: 3358.13 ps
NAND-n109: 2884.00 ps
INP-n110: 3358.13 ps
NAND-n111: 2884.00 ps
INP-n112: 3358.13 ps
NAND-n113: 2884.00 ps
INP-n114: 3358.13 ps
NAND-n115: 2884.00 ps
INP-n116: 3358.13 ps
NAND-n117: 2884.00 ps
INP-n118: 3358.13 ps
NAND-n119: 2884.00 ps
INP-n120: 3358.13 ps
NAND-n121: 2884.00 ps
INP-n122: 3363.85 ps
NAND-n123: 2884.00 ps
INP-n124: 3321.14 ps
NAND-n125: 3031.63 ps
INP-n126: 3321.14 ps
NAND-n127: 3031.63 ps
INP-n128: 3321.14 ps
NAND-n129: 3031.63 ps
INP-n130: 3321.14 ps
NAND-n131: 3031.63 ps
INP-n132: 3321.14 ps
NAND-n133: 3031.63 ps
INP-n134: 3321.14 ps
NAND-n135: 3031.63 ps
