Circuit delay: 1352.10 ps

Gate slacks:
INP-n1: 1316.70 ps
INP-n2: 1316.70 ps
INP-n3: 1316.70 ps
INP-n4: 1316.70 ps
INP-n5: 1316.70 ps
INP-n6: 1316.70 ps
INP-n7: 1316.70 ps
INP-n8: 1316.70 ps
INP-n9: 1289.77 ps
INP-n10: 1289.77 ps
INP-n11: 1289.77 ps
INP-n12: 1289.77 ps
INP-n13: 1289.77 ps
INP-n14: 1289.77 ps
INP-n15: 1289.77 ps
INP-n16: 1289.77 ps
INP-n17: 1440.46 ps
INP-n18: 1413.57 ps
INP-n19: 1413.57 ps
INP-n20: 1413.57 ps
INP-n21: 1413.57 ps
INP-n22: 1413.57 ps
INP-n23: 1413.57 ps
INP-n24: 1413.57 ps
INP-n25: 1289.75 ps
INP-n26: 1289.75 ps
INP-n27: 1289.75 ps
INP-n28: 1289.75 ps
INP-n29: 1289.75 ps
INP-n30: 1289.75 ps
INP-n31: 1289.75 ps
INP-n32: 1289.75 ps
INP-n33: 1381.07 ps
INP-n34: 1405.07 ps
INP-n35: 877.03 ps
INP-n36: 1345.18 ps
INP-n37: 1449.90 ps
INP-n38: 1449.90 ps
INP-n39: 1449.90 ps
INP-n40: 1449.90 ps
INP-n41: 1449.90 ps
INP-n42: 1449.90 ps
INP-n43: 1449.90 ps
INP-n44: 1449.90 ps
INP-n45: 1449.90 ps
INP-n46: 1449.90 ps
INP-n47: 1449.90 ps
INP-n48: 1449.90 ps
INP-n49: 1449.90 ps
INP-n50: 1449.90 ps
INP-n51: 1449.90 ps
INP-n52: 1449.90 ps
INP-n53: 1449.90 ps
INP-n54: 1449.90 ps
INP-n55: 1449.90 ps
INP-n56: 1449.90 ps
INP-n57: 1449.90 ps
INP-n58: 1449.90 ps
INP-n59: 1449.90 ps
INP-n60: 1449.90 ps
INP-n61: 1449.90 ps
INP-n62: 1449.90 ps
INP-n63: 1449.90 ps
INP-n64: 1449.90 ps
INP-n65: 1449.90 ps
INP-n66: 1449.90 ps
INP-n67: 1449.90 ps
INP-n68: 1449.90 ps
INP-n69: 1449.90 ps
INP-n70: 1449.90 ps
INP-n71: 1449.90 ps
INP-n72: 1449.90 ps
INP-n73: 1449.90 ps
INP-n74: 1450.14 ps
INP-n75: 1446.18 ps
INP-n76: 1415.82 ps
INP-n77: 1415.82 ps
INP-n78: 1415.82 ps
INP-n79: 1415.82 ps
INP-n80: 1415.82 ps
INP-n81: 1415.82 ps
INP-n82: 1415.82 ps
INP-n83: 1415.82 ps
INP-n84: 1415.82 ps
INP-n85: 1415.82 ps
INP-n86: 1415.82 ps
INP-n87: 1415.82 ps
INP-n88: 1415.82 ps
INP-n89: 1415.82 ps
INP-n90: 1415.82 ps
INP-n91: 1440.35 ps
INP-n92: 1440.35 ps
INP-n93: 1440.35 ps
INP-n94: 1440.35 ps
INP-n95: 1440.35 ps
INP-n96: 1440.35 ps
INP-n97: 1440.35 ps
INP-n98: 1440.35 ps
INP-n99: 1440.35 ps
INP-n100: 1440.35 ps
INP-n101: 1440.35 ps
INP-n102: 1440.35 ps
INP-n103: 1440.35 ps
INP-n104: 1440.35 ps
INP-n105: 1440.35 ps
INP-n106: 1440.35 ps
NAND-n107: 1350.98 ps
NAND-n108: 1350.98 ps
NAND-n109: 1350.98 ps
NAND-n110: 1350.98 ps
NAND-n111: 1174.27 ps
NAND-n112: 1174.27 ps
NAND-n113: 1174.27 ps
NAND-n114: 1174.27 ps
NAND-n115: 1174.27 ps
NAND-n116: 1174.27 ps
NAND-n117: 1174.27 ps
NAND-n118: 1174.27 ps
NAND-n119: 1174.27 ps
NAND-n120: 1174.27 ps
NAND-n121: 1174.27 ps
NAND-n122: 1174.27 ps
NAND-n123: 1174.27 ps
NAND-n124: 1174.27 ps
NAND-n125: 1174.27 ps
NAND-n126: 1174.27 ps
NAND-n127: 1174.27 ps
NAND-n128: 1174.27 ps
NAND-n129: 1174.27 ps
NAND-n130: 1174.27 ps
NAND-n131: 1174.27 ps
NAND-n132: 1174.27 ps
NAND-n133: 1174.27 ps
NAND-n134: 1174.27 ps
NAND-n135: 1174.27 ps
NAND-n136: 1174.27 ps
NAND-n137: 1174.27 ps
NAND-n138: 1174.27 ps
NAND-n139: 1174.27 ps
NAND-n140: 1174.27 ps
INP-n141: 831.56 ps
NAND-n142: 1310.33 ps
INP-n143: 843.32 ps
NAND-n144: 1317.21 ps
INP-n145: 865.71 ps
NAND-n146: 1335.21 ps
INP-n147: 1251.56 ps
NAND-n148: 1216.80 ps
INP-n149: 1251.56 ps
NAND-n150: 1216.80 ps
INP-n151: 1257.52 ps
AND-n152: 1222.93 ps
INP-n153: 1257.52 ps
